"SITECODE","loss_year","pixel_count","year","disturbed_ha"
"CY5000008",1,4,2001,0.36
"CY5000008",2,4,2002,0.36
"CY5000008",3,11,2003,0.99
"CY5000008",4,1.32075875997543,2004,0.118868288397789
"CY5000008",6,6.40910195931792,2006,0.576819176338613
"CY5000008",7,40,2007,3.6
"CY5000008",9,5,2009,0.45
"CY5000008",10,35.0233868975192,2010,3.15210482077673
"CY5000008",11,2,2011,0.18
"CY5000008",14,6,2014,0.54
"CY5000008",17,0.876372183673084,2017,0.0788734965305775
"CY5000008",19,1,2019,0.09
"CY5000008",21,13.0331699214876,2021,1.17298529293388
"CY5000008",22,8,2022,0.72
"CY5000009",1,10,2001,0.9
"CY5000009",8,3.80905030667782,2008,0.342814527601004
"CY5000009",9,1,2009,0.09
"CY5000009",13,6.99566513299942,2013,0.629609861969948
"CY5000009",14,6.97221446037292,2014,0.627499301433563
"CY5000009",15,0.541668500751257,2015,0.0487501650676131
"CY5000009",16,9.24372194707394,2016,0.831934975236654
"CY5000009",20,3,2020,0.27
"CY5000009",21,3.99472987651825,2021,0.359525688886642
"CY5000009",23,0.0595596507191658,2023,0.00536036856472492
"CY5000010",1,3,2001,0.27
"CY5000010",2,14,2002,1.26
"CY5000010",3,7.11345755308867,2003,0.64021117977798
"CY5000010",4,57.778720676899,2004,5.20008486092091
"CY5000010",5,23,2005,2.07
"CY5000010",6,5,2006,0.45
"CY5000010",7,46,2007,4.14
"CY5000010",8,39.0850178599358,2008,3.51765160739422
"CY5000010",9,12,2009,1.08
"CY5000010",10,7,2010,0.63
"CY5000010",11,81.3094400030095,2011,7.31784960027086
"CY5000010",12,100,2012,9
"CY5000010",13,26,2013,2.34
"CY5000010",14,91.9999983906746,2014,8.27999985516071
"CY5000010",15,23,2015,2.07
"CY5000010",16,440.351933479309,2016,39.6316740131378
"CY5000010",17,68,2017,6.12
"CY5000010",18,23.581161737442,2018,2.12230455636978
"CY5000010",19,16,2019,1.44
"CY5000010",20,9,2020,0.81
"CY5000010",21,18,2021,1.62
"CY5000010",22,6,2022,0.54
"CY5000010",23,4.72710512578487,2023,0.425439461320639
"CY5000011",3,2,2003,0.18
"CY5000011",6,1,2006,0.09
"CY5000011",7,3,2007,0.27
"CY5000011",8,3.11884102225304,2008,0.280695692002773
"CY5000011",9,4.0343512147665,2009,0.363091609328985
"CY5000011",13,1,2013,0.09
"CY5000011",14,2,2014,0.18
"CY5000011",15,28,2015,2.52
"CY5000011",17,159.433137783781,2017,14.3489824005403
"CY5000011",19,7,2019,0.63
"CY5000011",21,5,2021,0.45
"CY5000011",22,1,2022,0.09
"CY6000002",12,4.36626785993576,2012,0.392964107394218
"CY6000004",1,3,2001,0.27
"CY6000004",4,18,2004,1.62
"CY6000004",5,1,2005,0.09
"CY6000004",6,3,2006,0.27
"CY6000004",7,2,2007,0.18
"CY6000004",9,15,2009,1.35
"CY6000004",10,6,2010,0.54
"CY6000005",19,8,2019,0.72
"CY6000007",5,4,2005,0.36
"CY6000007",7,1,2007,0.09
"CY6000007",8,3,2008,0.27
"CY6000007",9,10,2009,0.9
"CY6000008",1,16,2001,1.44
"CY6000008",2,6.03787904605269,2002,0.543409114144742
"CY6000008",4,25.4964512065053,2004,2.29468060858548
"CY6000008",6,18.6565843392164,2006,1.67909259052947
"CY6000008",7,28,2007,2.52
"CY6000008",8,16,2008,1.44
"CY6000008",9,4,2009,0.36
"CY6000008",10,17,2010,1.53
"CY6000008",11,26.6899184621871,2011,2.40209266159683
"CY6000008",12,17,2012,1.53
"CY6000008",13,6,2013,0.54
"CY6000008",14,21.909781235503,2014,1.97188031119527
"CY6000008",15,2,2015,0.18
"CY6000008",18,2,2018,0.18
"CY6000008",21,4,2021,0.36
"CY5000007",6,2,2006,0.18
"CY5000007",8,7.89130342006683,2008,0.710217307806015
"CY5000007",12,2,2012,0.18
"CZ0110040",4,4,2004,0.36
"CZ0110040",17,4,2017,0.36
"CZ0110050",6,0.497321784496307,2006,0.0447589606046677
"CZ0110050",17,2,2017,0.18
"CZ0110142",4,4,2004,0.36
"CZ0110142",5,1.6008665561676,2005,0.144077990055084
"CZ0110142",11,2,2011,0.18
"CZ0110142",14,3,2014,0.27
"CZ0110142",15,1,2015,0.09
"CZ0110142",17,1,2017,0.09
"CZ0110142",20,6,2020,0.54
"CZ0110142",21,2,2021,0.18
"CZ0114001",7,2.00941654294729,2007,0.180847488865256
"CZ0114001",21,7,2021,0.63
"CZ0210010",4,5.63748062076047,2004,0.507373255868442
"CZ0210010",5,3.51255712285638,2005,0.316130141057074
"CZ0210010",10,2,2010,0.18
"CZ0210010",13,0.668495357036591,2013,0.0601645821332931
"CZ0210010",14,2,2014,0.18
"CZ0210010",16,2,2016,0.18
"CZ0210010",19,0.0217690132558346,2019,0.00195921119302511
"CZ0210022",1,0.247339159250259,2001,0.0222605243325233
"CZ0210022",2,4,2002,0.36
"CZ0210022",4,4,2004,0.36
"CZ0210022",5,1.21652023494244,2005,0.109486821144819
"CZ0210022",11,4,2011,0.36
"CZ0210022",12,19.4643602967262,2012,1.75179242670536
"CZ0210022",13,3,2013,0.27
"CZ0210022",14,18,2014,1.62
"CZ0210022",16,8,2016,0.72
"CZ0210022",18,5,2018,0.45
"CZ0210022",19,8,2019,0.72
"CZ0210022",20,6,2020,0.54
"CZ0210022",21,7,2021,0.63
"CZ0210022",22,4,2022,0.36
"CZ0210027",1,2,2001,0.18
"CZ0210027",4,1.25481038540602,2004,0.112932934686542
"CZ0210027",11,4,2011,0.36
"CZ0210027",13,0.751267567276955,2013,0.0676140810549259
"CZ0210027",14,2,2014,0.18
"CZ0210027",15,7.66361680626869,2015,0.689725512564182
"CZ0210027",16,34.0467146039009,2016,3.06420431435108
"CZ0210027",17,4.11010807752609,2017,0.369909726977348
"CZ0210027",19,4.01335585396737,2019,0.361202026857063
"CZ0210027",20,26.1216486245394,2020,2.35094837620854
"CZ0210027",21,29.8193338438869,2021,2.68374004594982
"CZ0210027",22,32.8625510782003,2022,2.95762959703803
"CZ0210027",23,10.6356905959547,2023,0.957212153635919
"CZ0210028",7,1.14702664315701,2007,0.10323239788413
"CZ0210028",8,14.6937310695648,2008,1.32243579626083
"CZ0210028",9,5.21973556932062,2009,0.469776201238856
"CZ0210028",10,1,2010,0.09
"CZ0210028",11,2.47942222794518,2011,0.223148000515066
"CZ0210028",13,0.192025527358055,2013,0.017282297462225
"CZ0210028",16,5.60108707845211,2016,0.50409783706069
"CZ0210028",17,1,2017,0.09
"CZ0210028",19,0.565757788717747,2019,0.0509182009845972
"CZ0210028",20,3.14645503414795,2020,0.283180953073315
"CZ0210028",21,9.6133526051417,2021,0.865201734462753
"CZ0210028",22,4.29212924093008,2022,0.386291631683707
"CZ0210028",23,6,2023,0.54
"CZ0313119",15,2,2015,0.18
"CZ0313119",19,4.65917684724263,2019,0.419325916251837
"CZ0313119",20,5.60356982797384,2020,0.504321284517646
"CZ0313119",21,0.0752447918057442,2021,0.00677203126251698
"CZ0522129",19,1.09077271819115,2019,0.0981695446372032
"CZ0210003",9,0.0239240452647209,2009,0.00215316407382488
"CZ0210003",11,0.255016952753067,2011,0.022951525747776
"CZ0210003",19,0.411471585277468,2019,0.0370324426749721
"CZ0210003",20,2.14284123387188,2020,0.192855711048469
"CZ0210011",19,0.0575308799743652,2019,0.00517777919769287
