COUNTRY,NAME_1,SITECODE,disturbed_ha_inside,percent_disturbed_site
Austria,Burgenland,AT1108813,1199.43087038239,6.985612520269295
Austria,Burgenland,AT1114813,631.672550092822,5.948150143164129
Austria,Burgenland,AT1110137,566.591639914271,1.312697093250695
Austria,Kärnten,AT2101000,256.471932028628,1.2791768981299108
Austria,Kärnten,AT2129000,256.471932028628,1.2791768981299108
Austria,Kärnten,AT2120000,121.54716728318,11.897550591350806
Austria,Niederösterreich,AT1201000,2421.19787925871,6.134655785215687
Austria,Niederösterreich,AT1211000,2109.76770774724,3.7222297892321987
Austria,Niederösterreich,AT1203000,1696.25426920325,6.730560782577247
Austria,Oberösterreich,AT3111000,622.423119320473,4.92512528029919
Austria,Oberösterreich,AT3122000,577.980734947692,15.13665418119193
Austria,Oberösterreich,AT3120000,428.812416916384,13.309792727799518
Austria,Salzburg,AT3210001,208.370731950826,0.6431145187259274
Austria,Salzburg,AT3209022,37.2507184337435,4.6801390425208815
Austria,Salzburg,AT3223000,28.0850773792423,5.3362342919708174
Austria,Steiermark,AT2209000,2673.55466144839,4.573135616524701
Austria,Steiermark,AT2229000,980.208628727504,3.76081809822146
Austria,Steiermark,AT2204000,264.232486499631,5.0052248785536175
Austria,Tirol,AT3304000,687.282239126024,1.5358528848795157
Austria,Tirol,AT3301000,72.0665455155914,0.23693020626225472
Austria,Tirol,AT3309000,63.9565512504968,2.347327580914995
Austria,Vorarlberg,AT3408000,39.6018685691657,12.515104928485227
Austria,Vorarlberg,AT3411000,28.339964911812,3.3934535754026474
Austria,Vorarlberg,AT3438000,24.1059958950011,1.7454788794483638
Austria,Wien,AT1302000,13.5433324066177,0.8913496100390088
Austria,Wien,AT1301000,5.94967599794269,0.42084863019140745
Austria,Wien,AT1303000,2.89925411939621,0.6643198075173657
Belgium,Bruxelles,BE1000001,49.3853672404121,3.238255795768967
Belgium,Bruxelles,BE1000002,0.319180150330067,0.3773250872532203
Belgium,Bruxelles,BE1000003,0.09,0.1383671944759195
Belgium,Vlaanderen,BE2218311,470.591263065153,8.019516524063022
Belgium,Vlaanderen,BE2200029,454.669192118036,8.423008384119441
Belgium,Vlaanderen,BE2200035,433.204079126568,13.596237179938372
Belgium,Wallonie,BE34052C0,801.284047695352,16.372912305725006
Belgium,Wallonie,BE34029C0,497.715000548855,10.500064660938369
Belgium,Wallonie,BE34046C0,414.698702392948,10.788976761653002
Bulgaria,Blagoevgrad,BG0000366,416.073037283936,1.3032643383329836
Bulgaria,Blagoevgrad,BG0002126,191.182921421514,0.9567037456870496
Bulgaria,Blagoevgrad,BG0002003,188.111077404332,1.1155739181009037
Bulgaria,Burgas,BG0002043,1308.16018883347,3.0309727572745184
Bulgaria,Burgas,BG0001004,703.383483541507,6.048386487699473
Bulgaria,Burgas,BG0000219,659.824232307386,1.9818922095117695
Bulgaria,Dobrich,BG0000107,628.566770573147,1.2715619064148114
Bulgaria,Dobrich,BG0002048,242.763701760974,1.1419812252082167
Bulgaria,Dobrich,BG0000130,66.0841423366698,1.6609388773585563
Bulgaria,Gabrovo,BG0000399,147.623388856674,1.33949996150769
Bulgaria,Gabrovo,BG0000275,70.4532965437423,1.3831184451484428
Bulgaria,Gabrovo,BG0000214,26.0058090013079,1.5676459626527073
Bulgaria,Grad Sofiya,BG0000113,261.562888743349,1.3887722147390686
Bulgaria,Grad Sofiya,BG0001307,24.7349352725688,1.2951168053598814
Bulgaria,Grad Sofiya,BG0002114,3.51845342159272,10.249454370266498
Bulgaria,Haskovo,BG0001032,2024.81311763394,1.532188446557425
Bulgaria,Haskovo,BG0002021,1019.96587680462,1.1890865417119263
Bulgaria,Haskovo,BG0000212,904.423168320661,1.0203237520820478
Bulgaria,Kardzhali,BG0002071,82.7959039420408,0.9408047801842371
Bulgaria,Kardzhali,BG0002013,37.9208050842024,0.4637173896546611
Bulgaria,Kardzhali,BG0002012,18.4031235296745,0.2801347177191581
Bulgaria,Kyustendil,BG0002129,414.425448951717,1.890340912550046
Bulgaria,Kyustendil,BG0001011,262.747336997505,1.367866919243081
Bulgaria,Kyustendil,BG0002079,219.894624555805,1.5237746501576994
Bulgaria,Lovech,BG0001493,968.231895501801,1.6288126070548814
Bulgaria,Lovech,BG0002109,489.703848360887,2.2445152506709523
Bulgaria,Lovech,BG0002128,374.771153147555,1.3019952875166252
Bulgaria,Montana,BG0001040,1750.73426698556,1.3008727950255945
Bulgaria,Montana,BG0002002,1398.22896756907,1.677154511270905
Bulgaria,Montana,BG0000182,50.8741321008839,3.4449074458475266
Bulgaria,Pazardzhik,BG0001030,3205.1104435309,2.1327229388055122
Bulgaria,Pazardzhik,BG0002063,1530.77806222465,1.9079991691330411
Bulgaria,Pazardzhik,BG0001389,1007.66450040388,1.607712153390875
Bulgaria,Pernik,BG0001017,550.944060613081,4.113624741470884
Bulgaria,Pernik,BG0001012,203.448069202693,1.647503842991823
Bulgaria,Pernik,BG0002089,166.959744734426,3.1769394626309997
Bulgaria,Pleven,BG0000240,433.719163880031,2.4355338707719127
Bulgaria,Pleven,BG0000396,288.744347563991,2.44844862987577
Bulgaria,Pleven,BG0002017,200.861053561528,5.670829443272921
Bulgaria,Plovdiv,BG0001031,1262.74191097442,1.3740206393715027
Bulgaria,Plovdiv,BG0000578,174.559567335939,3.229383369931197
Bulgaria,Plovdiv,BG0000429,83.9574984273675,2.9894243976796195
Bulgaria,Razgrad,BG0002062,1209.55031504027,2.2705754231609285
Bulgaria,Razgrad,BG0000168,1100.52240518,3.208062830781247
