X,SITECODE,forest_ha_inside,forest_ha_buffer,disturbed_ha_inside,disturbed_ha_buffer,undisturbed_ha_inside,undisturbed_ha_buffer,member_state
1,BG0002104,549.073344726562,969.18697265625,3.38262966290116,3.65184726119041,545.690715063661,965.53512539506,BG
2,CY3000006,113.583109130859,597.256435546875,0.0964392314851284,2.85118109107017,113.486669899374,594.405254455805,CY
3,CY3000008,181.621384277344,767.03484375,0,0.18,181.621384277344,766.85484375,CY
4,CY3000009,37.4771365356445,946.9828125,0,0,37.4771365356445,946.9828125,CY
5,CY2000001,51.6852136230469,642.206953125,0,0,51.6852136230469,642.206953125,CY
6,CZ0212025,6.09474174499512,332.87185546875,2.255114422068,79.1400341845152,3.83962732292712,253.731821284235,CZ
7,CZ0714772,632.425166015625,2112.889921875,175.673408062049,574.474195245269,456.751757953576,1538.41572662973,CZ
8,CY3000007,109.225524902344,606.46798828125,0,0,109.225524902344,606.46798828125,CY
9,CY3000011,3.27459320068359,287.450859375,0,0,3.27459320068359,287.450859375,CY
10,CY4000001,1248.31784179687,1742.49439453125,1.3190224814415,6.92416747367999,1246.99881931543,1735.57022705757,CY
11,CY4000002,1697.57876953125,2562.0619921875,9.06407656386495,11.8744541374454,1688.51469296738,2550.18753805005,CY
12,CY4000003,1046.73049804688,4895.380546875,4.5308715954423,14.918435102175,1042.19962645143,4880.46211177282,CY
13,CY4000004,528.703637695313,1007.71004882812,9.29742133546082,3.13186032906175,519.406216359852,1004.57818849906,CY
14,CY4000005,358.333703613281,1871.57126953125,1.26,1.1747769991681,357.073703613281,1870.39649253208,CY
15,CY4000006,113.279447021484,553.252895507812,0,0,113.279447021484,553.252895507812,CY
16,CY4000007,3245.411953125,4519.7012109375,0.440571831464767,7.04867608264089,3244.97138129354,4512.65253485486,CY
17,CY4000008,187.528974609375,1977.485625,0.901156095284969,25.6407110039145,186.62781851409,1951.84491399609,CY
18,CY4000009,68.5823126220703,1057.91598632812,0.334631318449974,9.58375470936298,68.2476813036203,1048.33223161876,CY
19,CY4000010,12680.1365625,9838.076484375,29.4937669363618,31.3658770293742,12650.6427955636,9806.71060734563,CY
20,CY4000013,63.8141253662109,508.768198242188,0,0.09,63.8141253662109,508.678198242188,CY
21,CY4000014,3.29907039642334,328.527224121094,0,0,3.29907039642334,328.527224121094,CY
22,CY4000024,507045.195,32891.8415625,0,0,507045.195,32891.8415625,CY
23,CZ0213610,0.690702424049377,243.041857910156,0.0606700927019119,6.22665870465338,0.630032331347466,236.815199205503,CZ
24,CY5000002,76.8311224365234,718.93494140625,0.0687352873384953,4.45705257788301,76.7623871491849,714.477888828367,CY
25,CY5000004,5632.6580859375,3355.5491015625,49.2123488491956,33.8674748767913,5583.4457370883,3321.68162668571,CY
26,CY5000005,1195.9871484375,1565.94322265625,0,0.18,1195.9871484375,1565.76322265625,CY
27,CY5000006,344.437580566406,1349.53734375,0.45,22.165129163491,343.987580566406,1327.37221458651,CY
28,CY5000008,2249.559140625,2503.51189453125,12.3896510749776,16.7362804097682,2237.16948955002,2486.77561412148,CY
29,CY5000009,1219.73677734375,3246.0901171875,4.10549488876015,16.8616399789039,1215.63128245499,3229.2284772086,CY
30,CY5000010,5758.430625,6086.89546875,100.975215134353,61.4796799899079,5657.45540986565,6025.41578876009,CY
31,CY5000011,2143.64865234375,3983.366953125,19.4927697018721,58.8811733511323,2124.15588264188,3924.48577977387,CY
32,CY6000002,1114.65140625,2079.599765625,0.392964107394218,0.201375605911016,1114.25844214261,2079.39839001909,CY
33,CY6000003,365.338256835938,1019.00188476563,0,0,365.338256835938,1019.00188476563,CY
34,CY6000004,1350.87609375,1662.35185546875,4.32,4.53207313120365,1346.55609375,1657.81978233755,CY
35,CY6000005,89.7204638671875,921.759169921875,0.72,1.96606079645455,89.0004638671875,919.79310912542,CY
36,CY6000007,1105.5251953125,1742.02541015625,1.62,1.3543455581367,1103.9051953125,1740.67106459811,CY
37,CY6000008,2415.4062890625,3779.5960546875,18.9711552860518,31.7461997121759,2396.43513377645,3747.84985497532,CY
38,CY6000009,2012.6548828125,2377.84939453125,0,0.81,2012.6548828125,2377.03939453125,CY
39,CY5000003,32.1058905029297,450.45509765625,0,2.7,32.1058905029297,447.75509765625,CY
40,CY6000001,9.38862007141113,387.669990234375,0,0.63,9.38862007141113,387.039990234375,CY
41,CZ0310009,1.89257165908813,254.509892578125,0,7.79312548130751,1.89257165908813,246.716767096818,CZ
42,CY5000007,76.9827612304688,887.9537109375,1.07021730780601,4.23119884550572,75.9125439226627,883.722512091994,CY
43,CY6000006,85.8746392822266,580.527553710937,0,0,85.8746392822266,580.527553710937,CY
44,CY6000010,38.498818359375,395.17083984375,0,0,38.498818359375,395.17083984375,CY
45,CY6000011,36.001408996582,390.08390625,0,0,36.001408996582,390.08390625,CY
46,CZ0110040,49.8834997558594,521.443696289062,0.72,3.87,49.1634997558594,517.573696289062,CZ
47,CZ0110050,63.4749499511719,852.918046875,0.224758960604668,1.96778929978609,63.2501909905672,850.950257575214,CZ
48,CZ0110142,109.099237060547,699.19892578125,1.85407799005508,7.73260192774236,107.245159070492,691.466323853508,CZ
49,CZ0110154,30.7648223876953,1124.29001953125,0,2.34,30.7648223876953,1121.95001953125,CZ
50,CZ0113005,23.5406497192383,429.680610351563,0,4.85991026937962,23.5406497192383,424.820700082183,CZ
51,CZ0113773,38.0550311279297,481.083662109375,0,1.17,38.0550311279297,479.913662109375,CZ
52,CZ0114001,82.6166546630859,601.76091796875,0.810847488865256,10.8037650768505,81.8058071742207,590.9571528919,CZ
53,CZ0210010,102.397862548828,701.060844726563,1.42562719025183,3.14803248967509,100.972235358576,697.912812236887,CZ
54,CZ0210022,128.068846435547,808.708974609375,8.2735397721827,5.64312749437988,119.795306663364,803.065847114995,CZ
55,CZ0210027,204.380090332031,701.445673828125,14.3351187693235,97.5834389717579,190.044971562708,603.862234856367,CZ
