COUNTRY,NAME_1,total_forest_ha,total_disturbed_ha,percent_disturbed
Austria,Burgenland,111962.25,3516.35,3.14
Austria,Kärnten,122989.53,1396.78,1.14
Austria,Niederösterreich,399711.2,19691.64,4.93
Austria,Oberösterreich,65291.71,2768.02,4.24
Austria,Salzburg,79966.25,2903.26,3.63
Austria,Steiermark,40202.31,585.82,1.46
Austria,Tirol,83697.79,788.17,0.94
Austria,Vorarlberg,6605.87,118.22,1.79
Austria,Wien,3.51,0,0
Belgium,Bruxelles,3421.15,91.13,2.66
Belgium,Vlaanderen,131447.76,5896.88,4.49
Belgium,Wallonie,140751.41,13690.04,9.73
Bulgaria,Blagoevgrad,565028.4,7759.29,1.37
Bulgaria,Burgas,589152.19,7353.92,1.25
Bulgaria,Dobrich,224330.62,2816.5,1.26
Bulgaria,Gabrovo,173745.35,2578.64,1.48
Bulgaria,Grad Sofiya,24227.69,300.97,1.24
Bulgaria,Haskovo,509836.14,7086.76,1.39
Bulgaria,Kardzhali,55687.65,747.49,1.34
Bulgaria,Kyustendil,78353.86,1528.69,1.95
Bulgaria,Lovech,77776.53,1719.9,2.21
Bulgaria,Montana,310727.03,3554.78,1.14
Bulgaria,Pazardzhik,153288.17,2257.39,1.47
Bulgaria,Pernik,23304.42,362.22,1.55
Bulgaria,Pleven,67173.94,937.65,1.4
Bulgaria,Plovdiv,27645.33,404.03,1.46
Bulgaria,Razgrad,132898.07,3037.61,2.29
Bulgaria,Ruse,20595.75,1335.77,6.49
Bulgaria,Shumen,94660.8,1313.93,1.39
Bulgaria,Silistra,10930.41,248.27,2.27
Bulgaria,Sliven,64528.45,784.29,1.22
Bulgaria,Smolyan,38493.55,589.26,1.53
Bulgaria,Sofia,62679.04,548.86,0.88
Bulgaria,Stara Zagora,9340.32,168.46,1.8
Bulgaria,Targovishte,3845.45,119.81,3.12
Bulgaria,Varna,26334.72,379.37,1.44
Bulgaria,Veliko Tarnovo,5137.73,41.97,0.82
Bulgaria,Vidin,10500.21,213.12,2.03
