SITECODE,forest_ha_inside,forest_ha_buffer
FI0200130,94.8246240234375,6884.988046875
FI0200131,18.2991618347168,1099.738388671875
FI0200132,11.451769409179688,433.09072265625
FI0200137,306.94163818359374,1210.07408203125
FI0200138,15.474693603515625,412.779111328125
NL2003045,76.88408752441406,1228.2338671875
FI0200126,52.28457275390625,1033.115712890625
NL2003054,1022.3588671875,1968.4578515625
NL2003059,2150.252578125,3547.2357421875
NL2003060,3230.2824609375,7536.4396875
NL2003061,871.562724609375,2018.7566015625
NL2003063,650.083623046875,1530.77958984375
NL2003064,5223.89953125,4907.1631640625
NL2008001,365600.3175,27476.499375
NL2008002,121868.13375,12973.775625
NL2008003,12519.669375,4732.42640625
NL2009162,380.929306640625,970.967900390625
NL2011015,337.8830932617187,1235.064990234375
NL2013137,501.8081396484375,1043.20177734375
NL2014038,17117.57671875,41210.78625
NL2014067,6263.68921875,26270.47125
NL2016166,213611.355,18704.14453125
FI0200128,20.19235336303711,1202.701376953125
FI0200133,168.97256103515625,2593.60400390625
FI0200134,31.742547912597658,1858.14984375
FI0200152,14290.2253125,5680.7490234375
FI0200147,31.91060028076172,1995.6146484375
FI0200151,3636.76921875,3317.2115625
NL3009014,2052.556171875,2552.9473828125
FI0200155,695.236640625,1782.06451171875
NL3009015,1373.776083984375,1572.68689453125
NL3009016,24617.10375,13991.96953125
NL3009017,70895.295,30634.0425
NL3011002,1225.625009765625,1783.05802734375
NL4000017,54845.28,12862.1953125
NL4000021,8446.19625,4725.6120703125
NL4000056,858.10921875,1718.77376953125
NL9801001,148953.76875,27159.2746875
NL9801004,155.52362548828125,753.316083984375
NL9801007,1720.62580078125,2086.81822265625
NL9801009,3250.8365625,8915.06953125
NL9801013,2299.64203125,2451.841171875
FI0200156,270.3857080078125,998.3366015625
FI0200157,179.19051635742187,1750.31525390625
FI0200158,40.32249664306641,549.12796875
FI0200160,10.60157730102539,410.1723193359375
FI0200161,12710.59171875,5401.4484375
FI0200163,16.65793212890625,427.0171728515625
FI0200164,120363.46875,95242.455
FI0200166,11.600267486572266,386.823427734375
FI0200167,35.19298004150391,490.398310546875
FI0200168,13.384690246582032,416.332001953125
FI0200169,6.6204368591308596,351.43354248046876
NL9801040,280.45905029296875,1923.3309375
FI0200159,87.96466735839844,814.260234375
FI0200165,14.305687866210938,409.036376953125
FI0200174,19.381787567138673,513.85785644531245
FI0200175,1.6350056076049804,314.3969384765625
FI0200176,8.691691360473634,418.524609375
FI0200178,1.6962878608703613,411.88130859375
FI0200179,0.4650805377960205,281.99085205078126
FI0200177,45.91069244384766,643.3547607421875
